task_set,comparison,omitted_video_key,remaining_video_clusters,delta_macro_f1
candidate_visual_five,rgb_linear_minus_majority_prior,site1/video10,5,0.12385510965854252
candidate_visual_five,rgb_linear_minus_majority_prior,site1/video9,5,0.12116031711081883
candidate_visual_five,rgb_linear_minus_majority_prior,site2/video1,5,0.09412488293252079
candidate_visual_five,rgb_linear_minus_majority_prior,site2/video2,5,0.11568885309120991
candidate_visual_five,rgb_linear_minus_majority_prior,site2/video3,5,0.10210892032257508
candidate_visual_five,rgb_linear_minus_majority_prior,site2/video4,5,0.10819938355754326
candidate_visual_five,rgb_mask_linear_minus_rgb_linear,site1/video10,5,0.0028771289529586964
candidate_visual_five,rgb_mask_linear_minus_rgb_linear,site1/video9,5,0.0037882155944017224
candidate_visual_five,rgb_mask_linear_minus_rgb_linear,site2/video1,5,-0.004722659475895119
candidate_visual_five,rgb_mask_linear_minus_rgb_linear,site2/video2,5,0.005699212620414373
candidate_visual_five,rgb_mask_linear_minus_rgb_linear,site2/video3,5,0.0044324340744363085
candidate_visual_five,rgb_mask_linear_minus_rgb_linear,site2/video4,5,0.008435167244573027
